symbol,token
CIPLA-EQ,694
DABUR-EQ,772
HEROMOTOCO-EQ,1348
KOTAKBANK-EQ,1922
LT-EQ,11483
BPCL-EQ,526
ASIANPAINT-EQ,236
EXIDEIND-EQ,676
CGPOWER-EQ,760
HINDPETRO-EQ,1406
SAIL-EQ,2963
HINDZINC-EQ,1424
SRF-EQ,3273
EICHERMOT-EQ,910
LUPIN-EQ,10440
PATANJALI-EQ,17029
ACC-EQ,22
COLPAL-EQ,15141
SUPREMEIND-EQ,3363
HAVELLS-EQ,9819
SHRIRAMFIN-EQ,4306
PIIND-EQ,24184
CONCOR-EQ,4749
INDUSINDBK-EQ,5258
ZYDUSLIFE-EQ,7929
UNITDSPR-EQ,10447
PNB-EQ,10666
CANBK-EQ,10794
MARUTI-EQ,10999
BHEL-EQ,438
LICHSGFIN-EQ,1997
MFSL-EQ,2142
MRF-EQ,2277
ONGC-EQ,2475
RELIANCE-EQ,2885
PIDILITIND-EQ,2664
VOLTAS-EQ,3718
GAIL-EQ,4717
PHOENIXLTD-EQ,14552
DIVISLAB-EQ,10940
TECHM-EQ,13538
RECLTD-EQ,15355
BAJAJFINSV-EQ,16675
PERSISTENT-EQ,18365
IDFCFIRSTB-EQ,11184
ABCAPITAL-EQ,21614
AUROPHARMA-EQ,275
ATGL-EQ,6066
SBICARD-EQ,17971
POWERINDIA-EQ,18457
SBIN-EQ,3045
GODFRYPHLP-EQ,1181
GRASIM-EQ,1232
TATAPOWER-EQ,3426
TATAELXSI-EQ,3411
FEDERALBNK-EQ,1023
TATASTEEL-EQ,3499
TCS-EQ,11536
NESTLEIND-EQ,17963
BAJAJ-AUTO-EQ,16669
NHPC-EQ,17400
UPL-EQ,11287
AUBANK-EQ,21238
KPITTECH-EQ,9683
POLYCAB-EQ,9590
NMDC-EQ,15332
KALYANKJIL-EQ,2955
LODHA-EQ,3220
INDUSTOWER-EQ,29135
CUMMINSIND-EQ,1901
HINDUNILVR-EQ,1394
HUDCO-EQ,20825
BDL-EQ,2144
HAL-EQ,2303
HDFCAMC-EQ,4244
IRCTC-EQ,13611
MAZDOCK-EQ,509
ABB-EQ,13
BLUESTARCO-EQ,8311
DRREDDY-EQ,881
TORNTPHARM-EQ,3518
HINDALCO-EQ,1363
M&M-EQ,2031
BOSCHLTD-EQ,2181
ITC-EQ,1660
WIPRO-EQ,3787
CHOLAFIN-EQ,685
ADANIENT-EQ,25
SUNPHARMA-EQ,3351
MPHASIS-EQ,4503
MOTHERSON-EQ,4204
KEI-EQ,13310
IOC-EQ,1624
ICICIBANK-EQ,4963
HCLTECH-EQ,7229
YESBANK-EQ,11915
M&MFIN-EQ,13285
INDIANB-EQ,14309
IDEA-EQ,14366
MUTHOOTFIN-EQ,23650
APLAPOLLO-EQ,25780
HDFCBANK-EQ,1333
JSWSTEEL-EQ,11723
LTIM-EQ,17818
SHREECEM-EQ,3103
BHARATFORG-EQ,422
SIEMENS-EQ,3150
COROMANDEL-EQ,739
APOLLOHOSP-EQ,157
MAXHEALTH-EQ,22377
BEL-EQ,383
INFY-EQ,1594
AMBUJACEM-EQ,1270
ASHOKLEY-EQ,212
BAJAJHLDNG-EQ,305
TMPV-EQ,3456
TATACONSUM-EQ,3432
BRITANNIA-EQ,547
INDHOTEL-EQ,1512
AXISBANK-EQ,5900
TVSMOTOR-EQ,8479
UNIONBANK-EQ,10753
IGL-EQ,11262
NTPC-EQ,11630
SOLARINDS-EQ,13332
GMRAIRPORT-EQ,13528
MOTILALOFS-EQ,14947
OIL-EQ,17438
OBEROIRLTY-EQ,20242
PRESTIGE-EQ,20302
BANKINDIA-EQ,4745
JINDALSTEL-EQ,6733
DMART-EQ,19913
NAUKRI-EQ,13751
ADANIPOWER-EQ,17388
360ONE-EQ,13061
SONACOMS-EQ,4684
BHARTIARTL-EQ,10604
ULTRACEMCO-EQ,11532
COFORGE-EQ,11543
SUZLON-EQ,12018
DLF-EQ,14732
ICICIGI-EQ,21770
TIINDIA-EQ,312
JSWENERGY-EQ,17869
COALINDIA-EQ,20374
LTF-EQ,24948
IRFC-EQ,2029
ETERNAL-EQ,5097
ADANIENSOL-EQ,10217
ALKEM-EQ,11703
VBL-EQ,18921
SBILIFE-EQ,21808
GODREJCP-EQ,10099
RVNL-EQ,9552
BIOCON-EQ,11373
TORNTPOWER-EQ,13786
PFC-EQ,14299
PAGEIND-EQ,14413
ASTRAL-EQ,14418
FORTIS-EQ,14592
ADANIPORTS-EQ,15083
GODREJPROP-EQ,17875
JUBLFOOD-EQ,18096
BHARTIHEXA-EQ,23489
COCHINSHIP-EQ,21508
HDFCLIFE-EQ,467
BAJFINANCE-EQ,317
TITAN-EQ,3506
TRENT-EQ,1964
VEDL-EQ,3063
TATACOMM-EQ,3721
NYKAA-EQ,6545
MARICO-EQ,4067
BANKBARODA-EQ,4668
NATIONALUM-EQ,6364
GLENMARK-EQ,7406
OFSS-EQ,10738
POWERGRID-EQ,14977
IRB-EQ,15313
INDIGO-EQ,11195
DIXON-EQ,21690
ADANIGREEN-EQ,3563
IREDA-EQ,20261
SWIGGY-EQ,27066
LICI-EQ,9480
TATATECH-EQ,20293
HYUNDAI-EQ,25844
VMM-EQ,27969
WAAREEENER-EQ,25907
MANKIND-EQ,15380
POLICYBZR-EQ,6656
JIOFIN-EQ,18143
ITCHOTELS-EQ,29251
ENRIN-EQ,756871
PAYTM-EQ,6705
PREMIERENE-EQ,25049
BAJAJHFL-EQ,25270
NTPCGREEN-EQ,27176
